docid,entityid,type
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper
0,Zhishang Xiang,Author
0,Chuanjie Wu,Author
0,Qinggang Zhang,Author
0,Shengyuan Chen,Author
0,Zijin Hong,Author
0,Xiao Huang,Author
0,Jinsong Su,Author
0,Graphrag,Topic
0,Rag,Topic
0,Graphrag-Bench,Topic
0,Large Language Models,Topic
0,External Knowledge,Topic
0,Graphs,Topic
0,Hierarchical Structure,Topic
0,Hierarchical Knowledge Retrieval,Topic
0,Deep Contextual Reasoning,Topic
0,Fact Retrieval,Topic
0,Complex Reasoning,Topic
0,Contextual Summarization,Topic
0,Creative Generation,Topic
0,Graph Construction,Topic
0,Knowledge Retrieval,Topic
0,Final Generation,Topic
0,Accurate Reasoning,Topic
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper
1,Sarat Ahmad,Author
1,Zeinab Nezami,Author
1,Maryam Hafeez,Author
1,Syed Ali Raza Zaidi,Author
1,Generative Ai,Topic
1,Autonomous Optimization,Topic
1,Wireless Networks,Topic
1,Open Radio Access Networks,Topic
1,Oran Architecture,Topic
1,Ran Intelligent Controller,Topic
1,Api Definitions,Topic
1,Xapps,Topic
1,Rapps,Topic
1,Large Language Models,Topic
1,Fine-Tuning,Topic
1,Telecom-Specific Tasks,Topic
1,Retrieval-Augmented Generation,Topic
1,Vector Rag,Topic
1,Graphrag,Topic
1,Hybrid Graphrag,Topic
1,In-Context Learning,Topic
1,Domain Adaptation,Topic
1,Knowledge Graphs,Topic
1,Dual Retrieval Strategies,Topic
1,Multi-Hop Reasoning,Topic
1,Factual Grounding,Topic
1,Evaluation,Topic
1,Oran Specifications,Topic
1,Vector-Based Retrieval,Topic
1,Faithfulness,Topic
1,Answer Relevance,Topic
1,Context Relevance,Topic
1,Factual Correctness,Topic
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper
2,Haoran Luo,Author
2,Haihong E,Author
2,Guanting Chen,Author
2,Qika Lin,Author
2,Yikai Guo,Author
2,Fangzhi Xu,Author
2,Zemin Kuang,Author
2,Meina Song,Author
2,Xiaobao Wu,Author
2,Yifan Zhu,Author
2,Luu Anh Tuan,Author
2,Retrieval-Augmented Generation (Rag),Topic
2,Graphrag,Topic
2,Graph-R1,Topic
2,End-To-End Reinforcement Learning,Topic
2,Lightweight Knowledge Hypergraph Construction,Topic
2,Entity-Relation Graphs,Topic
2,Chunk-Based Retrieval,Topic
2,Structural Semantics,Topic
2,External Knowledge,Topic
2,Hallucination In Llms,Topic
2,Llms,Topic
2,Long-Context Reasoning,Topic
2,Prompt Design,Topic
2,Multi-Turn Agent-Environment Interaction,Topic
2,End-To-End Reward Mechanism,Topic
2,Reasoning Accuracy,Topic
2,Retrieval Efficiency,Topic
2,Generation Quality,Topic
2,Rag Datasets,Topic
2,High Construction Cost,Topic
2,Fixed One-Time Retrieval,Topic
2,Agentic Graphrag Framework,Topic
2,Agent Process,Topic
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper
3,Haoyu Han,Author
3,Harry Shomer,Author
3,Yu Wang,Author
3,Yongjia Lei,Author
3,Kai Guo,Author
3,Zhigang Hua,Author
3,Bo Long,Author
3,Hui Liu,Author
3,Jiliang Tang,Author
3,Retrieval-Augmented Generation (Rag),Topic
3,Graphrag,Topic
3,Llms,Topic
3,Text-Based Data,Topic
3,Structured Data,Topic
3,Knowledge Graphs,Topic
3,Implicit Knowledge,Topic
3,Graph Data,Topic
3,Question Answering,Topic
3,Query-Based Summarization,Topic
3,Text-Based Benchmarks,Topic
3,Systematic Evaluation,Topic
3,Shortcomings Of Current Graphrag Approaches,Topic
3,Future Research,Topic
3,Strategies To Integrate Their Strengths,Topic
3,Downstream Tasks,Topic
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper
4,Kai Guo,Author
4,Harry Shomer,Author
4,Shenglai Zeng,Author
4,Haoyu Han,Author
4,Yu Wang,Author
4,Jiliang Tang,Author
4,Large Language Models,Topic
4,Natural Language Processing,Topic
4,Graphrag,Topic
4,Graphrag-Fi,Topic
4,Graphrag-Filtering,Topic
4,Graphrag-Integration,Topic
4,Two-Stage Filtering Mechanism,Topic
4,Logits-Based Selection Strategy,Topic
4,External Graphs,Topic
4,Knowledge Gaps,Topic
4,Hallucinations,Topic
4,Retrieval-Augmented Generation,Topic
4,Intrinsic Reasoning,Topic
4,Knowledge Graph Qa Tasks,Topic
4,Noisy And Irrelevant Information,Topic
4,External Knowledge,Topic
4,Excessive Reliance On External Knowledge,Topic
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper
5,Travis Thompson,Author
5,Seung-Hwan Lim,Author
5,Paul Liu,Author
5,Ruoying He,Author
5,Dongkuan Xu,Author
5,Large Language Models (Llms),Topic
5,Language Understanding And Generation,Topic
5,Knowledge-Intensive Reasoning Tasks,Topic
5,Structured Context,Topic
5,Multi-Hop Information,Topic
5,Retrieval-Augmented Generation (Rag),Topic
5,Graphrag,Topic
5,Knowledge Graphs,Topic
5,Inference-Scaled Graphrag,Topic
5,Inference-Time Compute Scaling,Topic
5,Sequential Scaling,Topic
5,Deep Chain-Of-Thought Graph Traversal,Topic
5,Parallel Scaling,Topic
5,Majority Voting,Topic
5,Interleaved Reasoning-Execution Loop,Topic
5,Grbench Benchmark,Topic
5,Multi-Hop Question Answering,Topic
5,Graph Traversal Baselines,Topic
5,Structured Knowledge Reasoning,Topic
6,T-Grag: A Dynamic Graphrag Framework For Resolving Temporal Conflicts And Redundancy In Knowledge Retrieval,Paper
6,Dong Li,Author
6,Yichen Niu,Author
6,Ying Ai,Author
6,Xiang Zou,Author
6,Biqing Qi,Author
6,Jianxing Liu,Author
6,Large Language Models (Llms),Topic
6,Natural Language Generation,Topic
6,Knowledge-Intensive Tasks,Topic
6,Outdated Or Incomplete Internal Knowledge,Topic
6,Retrieval-Augmented Generation (Rag),Topic
6,External Retrieval,Topic
6,Graphrag,Topic
6,Knowledge Graphs,Topic
6,Multi-Hop Reasoning,Topic
6,Temporal Dynamics Of Knowledge,Topic
6,Temporal Ambiguity,Topic
6,Time-Insensitive Retrieval,Topic
6,Semantic Redundancy,Topic
6,Temporal Graphrag (T-Grag),Topic
