docid,source,sourcetype,target,targettype,type
0,Zhishang Xiang,Author,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,AUTHORED
0,Chuanjie Wu,Author,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,AUTHORED
0,Qinggang Zhang,Author,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,AUTHORED
0,Shengyuan Chen,Author,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,AUTHORED
0,Zijin Hong,Author,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,AUTHORED
0,Xiao Huang,Author,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,AUTHORED
0,Jinsong Su,Author,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,AUTHORED
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Graphrag,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Rag,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Graphrag-Bench,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Large Language Models,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,External Knowledge,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Graphs,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Hierarchical Structure,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Hierarchical Knowledge Retrieval,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Deep Contextual Reasoning,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Fact Retrieval,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Complex Reasoning,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Contextual Summarization,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Creative Generation,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Graph Construction,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Knowledge Retrieval,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Final Generation,Topic,COVERS
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper,Accurate Reasoning,Topic,COVERS
0,Graphrag-Bench,Topic,Fact Retrieval,Topic,INCLUDES
0,Graphrag-Bench,Topic,Complex Reasoning,Topic,INCLUDES
0,Graphrag-Bench,Topic,Contextual Summarization,Topic,INCLUDES
0,Graphrag-Bench,Topic,Creative Generation,Topic,INCLUDES
0,Graphrag-Bench,Topic,Graph Construction,Topic,INCLUDES
0,Graphrag-Bench,Topic,Knowledge Retrieval,Topic,INCLUDES
0,Graphrag-Bench,Topic,Final Generation,Topic,INCLUDES
0,Graphrag,Topic,Rag,Topic,RELATED_TO
0,Graphrag-Bench,Topic,Graphrag,Topic,RELATED_TO
0,Graphrag,Topic,Graphs,Topic,RELATED_TO
0,Graphs,Topic,Hierarchical Structure,Topic,RELATED_TO
0,Large Language Models,Topic,External Knowledge,Topic,RELATED_TO
0,Knowledge Retrieval,Topic,Accurate Reasoning,Topic,RELATED_TO
0,Graphrag,Topic,Hierarchical Knowledge Retrieval,Topic,RELATED_TO
0,Graphrag,Topic,Deep Contextual Reasoning,Topic,RELATED_TO
0,Graphrag-Bench,Topic,Hierarchical Knowledge Retrieval,Topic,RELATED_TO
0,Graphrag-Bench,Topic,Deep Contextual Reasoning,Topic,RELATED_TO
1,Sarat Ahmad,Author,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,AUTHORED
1,Zeinab Nezami,Author,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,AUTHORED
1,Maryam Hafeez,Author,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,AUTHORED
1,Syed Ali Raza Zaidi,Author,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,AUTHORED
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Generative Ai,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Autonomous Optimization,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Wireless Networks,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Open Radio Access Networks,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Oran Architecture,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Ran Intelligent Controller,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Api Definitions,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Xapps,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Rapps,Topic,COVERS
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper,Large Language Models,Topic,COVERS
